"Населено място / Пункт","SO2","","NO2","ФПЧ10","CO","O3"
"","ПС за СЧН","ПС за СДН","ПС за СЧН","ПС за СДН","8ч норма","ПИН"
"","350.0 µg/m3","125.0 µg/m3","200.0 µg/m3","50.0 µg/m3","10.0 mg/m3","180.0 µg/m3"
"Бургас - кв. Долно Езерово","","","","1.02","",""
"Г.Оряховица","","","","1.09","",""
"Пловдив - Каменица","","","","1.07","",""
"Пловдив - ж.к. Тракия","","","","1.49","",""
"Смолян - Библиотеката","","","","1.34","",""
"София - Дружба","","","","1.18","",""
"София - Надежда","","","","1.58","",""
"София - Хиподрума","","","","1.63","",""
"София - ИАОС/Павлово","","","","1.43","",""
"София - Младост","","","","1.63","",""
"Шумен","","","","1.04","",""
